Klebsiella granulomatis,,,,,Burkholderia stagnalis,,,,,,,,,Bacteroides pyogenes,,,,Lysinibacillus sp.,,Corynebacterium kroppenstedtii,,,,,,,,,,,,,,,,
Klebsiella grimontii,,,,,Burkholderia thailandensis,,,,,,,,,Bacteroides salivosus,,,,Paenibacillus sp.,,Corynebacterium kutscheri,,,,,,,,,,,,,,,,
Klebsiella mobilis,,,,,Burkholderia ubonensis,,,,,,,,,Bacteroides salyersae,,,,,,Corynebacterium lipophiloflavum,,,,,,,,,,,,,,,,
Klebsiella ornithinolytica,,,,,Burkholderia uboniae,,,,,,,,,Bacteroides salyersiae,,,,,,Corynebacterium lowii,,,,,,,,,,,,,,,,
Klebsiella oxytoca,,,,,Burkholderia vietnamiensis,,,,,,,,,Bacteroides splanchnicus,,,,,,Corynebacterium macginleyi,,,,,,,,,,,,,,,,
Klebsiella pasteurii,,,,,Comamonas acidovorans,,,,,,,,,Bacteroides stercoris,,,,,,Corynebacterium massiliense,,,,,,,,,,,,,,,,
Klebsiella planticola,,,,,Comamonas kerstersii,,,,,,,,,Bacteroides suis,,,,,,Corynebacterium minutissimum,,,,,,,,,,,,,,,,
Klebsiella pneumoniae,,,,,Comamonas testosteroni,,,,,,,,,Bacteroides tectus,,,,,,Corynebacterium mucifaciens,,,,,,,,,,,,,,,,
Klebsiella pneumoniae ozaenae,,,,,Acidovorax oryzae,,,,,,,,,Bacteroides termitidis,,,,,,Corynebacterium nigricans,,,,,,,,,,,,,,,,
Klebsiella pneumoniae pneumoniae,,,,,Brevundimonas diminuta,,,,,,,,,Bacteroides thetaiotaomicron,,,,,,Corynebacterium oculi,,,,,,,,,,,,,,,,
Klebsiella pneumoniae rhinoscleromatis,,,,,Brevundimonas vancanneytii,,,,,,,,,Bacteroides veroralis,,,,,,Corynebacterium oortii,,,,,,,,,,,,,,,,
Klebsiella quasipneumoniae,,,,,Brevundimonas vesicularis,,,,,,,,,Bacteroides vulgatus,,,,,,Corynebacterium otitidis,,,,,,,,,,,,,,,,
Klebsiella quasipneumoniae quasipneumoniae,,,,,Chryseomonas luteola,,,,,,,,,Bacteroides zoogleoformans,,,,,,Corynebacterium paurometabolum,,,,,,,,,,,,,,,,
Klebsiella quasipneumoniae similipneumoniae,,,,,Chryseomonas polytricha,,,,,,,,,Bifidobacterium denticolens,,,,,,Corynebacterium pilbarense,,,,,,,,,,,,,,,,
Klebsiella singaporensis,,,,,Flavimonas oryzihabitans,,,,,,,,,Bifidobacterium dentium,,,,,,Corynebacterium poinsettiae,,,,,,,,,,,,,,,,
Klebsiella trevisanii,,,,,Sphingomonas devorans,,,,,,,,,Bifidobacterium inopinatum,,,,,,Corynebacterium propinquum,,,,,,,,,,,,,,,,
